"","SeqID","County","ID","State","Route","Order","Direction","Notes","LumpID","Parent","Mileage.Notes","SliverID","County2","State2","Manual.Miles","Miles","Vital","Pres"
"1","0.0%","Los Angeles",211,"CA","I.10",1,"WE","",0,0,"",0,"Los Angeles","CA",NA,48.56,0,0
"2","0.0%","San Bernardino",228,"CA","I.10",2,"WE","",0,0,"",0,"San Bernardino","CA",NA,39.22,0,0
"3","0.0%","Riverside",225,"CA","I.10",3,"WE","",0,0,"",0,"Riverside","CA",NA,156.23,0,0
"4","0.0%","La Paz",109,"AZ","I.10",4,"WE","",0,0,"",0,"La Paz","AZ",NA,70.82,0,0
"5","0.1%","Maricopa",110,"AZ","I.10",5,"WE","",0,0,"",0,"Maricopa","AZ",NA,98.58,0,0
"6","0.1%","Pinal",114,"AZ","I.10",6,"WE","",0,0,"",0,"Pinal","AZ",NA,64.08,0,0
"7","0.1%","Pima",113,"AZ","I.10",7,"WE","",0,0,"",0,"Pima","AZ",NA,64.24,0,0
"8","0.1%","Cochise",104,"AZ","I.10",8,"WE","",0,0,"",0,"Cochise","AZ",NA,95.54,0,0
"9","0.1%","Hidalgo",1818,"NM","I.10",9,"WE","",0,0,"",0,"Hidalgo","NM",NA,34.32,0,0
"10","0.1%","Grant",1815,"NM","I.10",10,"WE","",0,0,"",0,"Grant","NM",NA,20.3,0,1
"11","0.1%","Luna",1822,"NM","I.10",11,"WE","",0,0,"",0,"Luna","NM",NA,55.86,0,0
"12","0.1%","Doña Ana",1813,"NM","I.10",12,"WE","",0,0,"",0,"Doña Ana","NM",NA,54.38,0,0
"13","0.2%","El Paso",2685,"TX","I.10",13,"WE","",0,0,"",0,"El Paso","TX",NA,61.89,0,0
"14","0.2%","Hudspeth",2730,"TX","I.10",14,"WE","",0,0,"",0,"Hudspeth","TX",NA,73.97,0,0
"15","0.2%","Culberson",2670,"TX","I.10",15,"WE","",0,0,"",0,"Culberson","TX",NA,43.84,0,0
"16","0.2%","Jeff Davis",2737,"TX","I.10",16,"WE","",0,0,"",0,"Jeff Davis","TX",NA,7.08,0,0
"17","0.2%","Reeves",2810,"TX","I.10",17,"WE","",0,0,"",0,"Reeves","TX",NA,41.59,0,0
"18","0.2%","Pecos",2801,"TX","I.10",18,"WE","",0,0,"",0,"Pecos","TX",NA,101.15,0,0
"19","0.2%","Crockett",2668,"TX","I.10",19,"WE","",0,0,"",0,"Crockett","TX",NA,53.19,0,0
"20","0.2%","Sutton",2833,"TX","I.10",20,"WE","",0,0,"",0,"Sutton","TX",NA,54.16,0,0
"21","0.2%","Kimble",2749,"TX","I.10",21,"WE","",0,0,"",0,"Kimble","TX",NA,44.04,0,0
"22","0.3%","Kerr",2748,"TX","I.10",22,"WE","Reentry from East",0,0,"",2001,"Kerr","TX","15.05",15.05,0,0
"23","0.3%","Gillespie",2701,"TX","I.10",23,"WE","",0,0,"",0,"Gillespie","TX",NA,5.95,0,0
"24","0.3%","Kerr",2748,"TX","I.10",24,"WE","Reentry from West",0,0,"",3001,"Kerr","TX",NA,22.72,0,0
"25","0.3%","Kendall",2745,"TX","I.10",25,"WE","",0,0,"",0,"Kendall","TX",NA,22.91,0,0
"26","0.3%","Bexar",2630,"TX","I.10",26,"WE","",0,0,"",0,"Bexar","TX",NA,49.21,0,0
"27","0.3%","Guadalupe",2709,"TX","I.10",27,"WE","",0,0,"",0,"Guadalupe","TX",NA,35.88,0,0
"28","0.3%","Caldwell",2643,"TX","I.10",28,"WE","",0,0,"",0,"Caldwell","TX",NA,4.66,0,0
"29","0.3%","Gonzales",2704,"TX","I.10",29,"WE","",0,0,"",0,"Gonzales","TX",NA,22.47,0,0
"30","0.3%","Fayette",2690,"TX","I.10",30,"WE","",0,0,"",0,"Fayette","TX",NA,22.99,0,0
"31","0.4%","Colorado",2660,"TX","I.10",31,"WE","",0,0,"",0,"Colorado","TX",NA,32.4,0,0
"32","0.4%","Austin",2623,"TX","I.10",32,"WE","",0,0,"",0,"Austin","TX",NA,16.21,0,0
"33","0.4%","Waller",2852,"TX","I.10",33,"WE","",0,0,"",0,"Waller","TX",NA,11.09,0,0
"34","0.4%","Fort Bend",2694,"TX","I.10",34,"WE","",0,0,"",0,"Fort Bend","TX",NA,2.67,0,0
"35","0.4%","Harris",2716,"TX","I.10",35,"WE","",0,0,"",0,"Harris","TX",NA,56.21,0,0
"36","0.4%","Chambers",2651,"TX","I.10",36,"WE","",0,0,"",0,"Chambers","TX",NA,34.46,1,0
"37","0.4%","Jefferson",2738,"TX","I.10",37,"WE","",0,0,"",0,"Jefferson","TX",NA,24.44,0,1
"38","0.4%","Orange",2796,"TX","I.10",38,"WE","",0,0,"",0,"Orange","TX",NA,24.97,0,0
"39","0.5%","Calcasieu",1131,"LA","I.10",39,"WE","",0,0,"",0,"Calcasieu","LA",NA,44.39,0,0
"40","0.5%","Jefferson Davis",1148,"LA","I.10",40,"WE","",0,0,"",0,"Jefferson Davis","LA",NA,22.64,0,0
"41","0.5%","Acadia",1122,"LA","I.10",41,"WE","",0,0,"",0,"Acadia","LA",NA,27.2,0,0
"42","0.5%","Lafayette",1149,"LA","I.10",42,"WE","",0,0,"",0,"Lafayette","LA",NA,14.09,0,0
"43","0.5%","St. Martin",1171,"LA","I.10",43,"WE","",0,0,"",0,"St. Martin","LA",NA,19.33,0,0
"44","0.5%","Iberville",1145,"LA","I.10",44,"WE","",0,0,"",0,"Iberville","LA",NA,14.94,1,0
"45","0.5%","West Baton Rouge",1182,"LA","I.10",45,"WE","",0,0,"",0,"West Baton Rouge","LA",NA,13.14,0,0
"46","0.5%","East Baton Rouge",1138,"LA","I.10",46,"WE","",0,0,"",0,"East Baton Rouge","LA",NA,13.87,0,0
"47","0.5%","Ascension",1124,"LA","I.10",47,"WE","",0,0,"",0,"Ascension","LA",NA,21.57,0,0
"48","0.6%","St. James",1168,"LA","I.10",48,"WE","",0,0,"",0,"St. James","LA",NA,6.82,0,0
"49","0.6%","St. John the Baptist",1169,"LA","I.10",49,"WE","",0,0,"",0,"St. John the Baptist","LA",NA,14.76,0,0
"50","0.6%","St. Charles",1166,"LA","I.10",50,"WE","",0,0,"",0,"St. Charles","LA",NA,9.46,0,0
"51","0.6%","Jefferson",1147,"LA","I.10",51,"WE","",0,0,"",0,"Jefferson","LA",NA,9.58,0,1
"52","0.6%","Orleans",1157,"LA","I.10",52,"WE","",0,0,"",0,"Orleans","LA",NA,27.19,0,0
"53","0.6%","St. Tammany",1173,"LA","I.10",53,"WE","",0,0,"",0,"St. Tammany","LA",NA,16.12,0,0
"54","0.6%","Hancock",1433,"MS","I.10",54,"WE","",0,0,"",0,"Hancock","MS",NA,19.08,0,0
"55","0.6%","Harrison",1434,"MS","I.10",55,"WE","",0,0,"",0,"Harrison","MS",NA,28.78,0,1
